OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2623	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neonectria	Neonectria_major_SH1539483.08FU
ASV_2946	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata_SH1557020.08FU
ASV_2964	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unassigned
ASV_3361	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Unassigned
ASV_3509	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unassigned	Unassigned	Unassigned
ASV_3788	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unassigned	Unassigned
ASV_4229	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe_conicoides_SH1512922.08FU
ASV_4449	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora_multipilosa_SH1215892.08FU
ASV_4731	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_5179	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unassigned	Unassigned	Unassigned
ASV_2670	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Unassigned	Unassigned
ASV_2827	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2842	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
ASV_3751	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_4152	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Basidioascus	Basidioascus_persicus_SH1555409.08FU
ASV_4270	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unassigned	Unassigned
ASV_1919	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2181	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2356	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unassigned	Unassigned
ASV_2470	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Unassigned
ASV_2482	Fungi	Ascomycota	Dothideomycetes	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2492	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unassigned	Unassigned
ASV_2625	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Unassigned	Unassigned	Unassigned
ASV_2642	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_polymorpha_SH1642176.08FU
ASV_2847	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_herpotricha_SH1640805.08FU
ASV_3487	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
ASV_3583	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unassigned	Unassigned
ASV_3704	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
