OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_11707	Bacteria	Acidobacteria	Acidobacteria	Subgroup_4	RB41	Unassigned	Unassigned
ASV_585	Bacteria	Acidobacteria	Holophagae	Subgroup_7	Unassigned	Unassigned	Unassigned
ASV_7330	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned
ASV_898	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	Unassigned
ASV_1072	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unassigned	Unassigned
ASV_653	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	Unassigned
ASV_742	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Nordella	Unassigned
ASV_1008	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_723	Bacteria	Acidobacteria	Acidobacteria	Subgroup_4	RB41	Unassigned	Unassigned
ASV_817	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned
ASV_1254	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	Unassigned
ASV_950	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	Unassigned	Unassigned	Unassigned
ASV_621	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales_Incertae_Sedis	Unassigned	Unassigned
ASV_647	Bacteria	Planctomycetes	Phycisphaerae	WD2101_soil_group	Unassigned	Unassigned	Unassigned
ASV_852	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Unassigned	Unassigned
ASV_942	Bacteria	Acidobacteria	Holophagae	Subgroup_7	Unassigned	Unassigned	Unassigned
ASV_1253	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	Unassigned	Unassigned
ASV_894	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Unassigned	Unassigned	Unassigned
ASV_748	Bacteria	Chloroflexi	SAR202_clade	Unassigned	Unassigned	Unassigned	Unassigned
ASV_774	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Unassigned
ASV_896	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_533	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	Unassigned	Unassigned	Unassigned
ASV_749	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_1143	Bacteria	Acidobacteria	Acidobacteria	Subgroup_4	Unknown_Family	Blastocatella	Unassigned
ASV_3413	Bacteria	Acidobacteria	Holophagae	Subgroup_7	Unassigned	Unassigned	Unassigned
ASV_675	Bacteria	Planctomycetes	Phycisphaerae	WD2101_soil_group	Unassigned	Unassigned	Unassigned
ASV_5733	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Unassigned	Unassigned	Unassigned
ASV_854	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unassigned
ASV_699	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unassigned
ASV_799	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	AKYH767	Unassigned	Unassigned
ASV_858	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unassigned	Unassigned
ASV_704	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unassigned
ASV_764	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3	Unassigned	Unassigned
ASV_607	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Unassigned	Unassigned
ASV_645	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Unassigned	Unassigned
ASV_1148	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Unassigned	Unassigned	Unassigned
ASV_620	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	Unassigned
